response,query,id
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",0
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,palpitations ",1
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",2
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,breathing fast ",3
panic disorder,"anxiety and nervousness ,depression ,insomnia ,abnormal involuntary movements ,chest tightness ",4
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,palpitations ,irregular heartbeat ",5
panic disorder,anxiety and nervousness ,6
panic disorder,"depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",7
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,irregular heartbeat ",8
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",9
panic disorder,"shortness of breath ,insomnia ,breathing fast ",10
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ",11
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",12
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ",13
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ",14
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,breathing fast ",15
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,palpitations ",16
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,breathing fast ",17
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ",18
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,palpitations ,irregular heartbeat ,breathing fast ",19
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,breathing fast ",20
panic disorder,"dizziness ,insomnia ,chest tightness ,palpitations ",21
panic disorder,"depression ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",22
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,palpitations ,irregular heartbeat ",23
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,breathing fast ",24
panic disorder,"depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,breathing fast ",25
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,palpitations ,breathing fast ",26
panic disorder,"depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ,irregular heartbeat ",27
panic disorder,"depression ,shortness of breath ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ,breathing fast ",28
panic disorder,"depression ,shortness of breath ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",29
panic disorder,"depression ,shortness of breath ,dizziness ,irregular heartbeat ",30
panic disorder,"depressive or psychotic symptoms ,insomnia ,chest tightness ",31
panic disorder,"abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",32
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,irregular heartbeat ,breathing fast ",33
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",34
panic disorder,"anxiety and nervousness ,dizziness ,palpitations ,irregular heartbeat ",35
panic disorder,"depression ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",36
