symptom,bengali_nam
anxiety and nervousness,উদ্বেগ এবং স্নায়বিকতা 
depression,বিষণ্ণতা
shortness of breath,শ্বাসকষ্ট
depressive or psychotic symptoms,বিষণ্ণতা বা মানসিক বিভ্রান্তির উপসর্গ
sharp chest pain,তীব্র বুকে ব্যথা
dizziness,মাথা ঘোরা
insomnia,অনিদ্রা
abnormal involuntary movements,অস্বাভাবিক অনিচ্ছাকৃত নড়াচড়া
chest tightness,বুকে চাপ
palpitations,হৃদকম্পন
irregular heartbeat,অনিয়মিত হৃদস্পন্দন
breathing fast,দ্রুত শ্বাস নেওয়া
hoarse voice,গলা ভাঙা
sore throat,গলা ব্যথা
difficulty speaking,কথা বলতে অসুবিধা
cough,কাশি
nasal congestion,নাক বন্ধ
throat swelling,গলা ফুলে যাওয়া
diminished hearing,শ্রবণশক্তি হ্রাস
lump in throat,গলায় গাঁট
throat feels tight,গলা শক্ত লাগা
difficulty in swallowing,গিলতে অসুবিধা
skin swelling,ত্বক ফুলে যাওয়া
retention of urine,প্রস্রাব ধরে রাখা
groin mass,কুঁচকিতে গাঁট
leg pain,পায়ে ব্যথা
hip pain,নিতম্বে ব্যথা
suprapubic pain,তলপেটে ব্যথা
blood in stool,মলে রক্ত
lack of growth,বৃদ্ধি না হওয়া
emotional symptoms,মানসিক উপসর্গ
elbow weakness,কনুই দুর্বলতা
back weakness,পিঠে দুর্বলতা
pus in sputum,কফে পুঁজ
symptoms of the scrotum and testes,অণ্ডথলি ও অণ্ডকোষের উপসর্গ
swelling of scrotum,অণ্ডথলি ফুলে যাওয়া
pain in testicles,অণ্ডকোষে ব্যথা
flatulence,গ্যাস হওয়া
pus draining from ear,কানে পুঁজ পড়া
jaundice,জন্ডিস
mass in scrotum,অণ্ডথলিতে গাঁট
white discharge from eye,চোখ থেকে সাদা নির্গমন
irritable infant,খিটখিটে শিশু
abusing alcohol,মদ্যপানের অপব্যবহার
fainting,অজ্ঞান হয়ে যাওয়া
hostile behavior,আক্রমণাত্মক আচরণ
drug abuse,মাদকদ্রব্যের অপব্যবহার
sharp abdominal pain,তীব্র পেটের ব্যথা
feeling ill,অসুস্থ লাগা
vomiting,বমি
headache,মাথাব্যথা
nausea,বমি বমি ভাব
diarrhea,ডায়রিয়া / পাতলা পায়খানা
vaginal itching,যোনিতে চুলকানি
vaginal dryness,যোনি শুষ্কতা
